"canonical_label","pass1_codes","in_vivo_codes","passage_ids","cluster_size","confirmed_by","confirmed_at","notes"
"Learning Programming Concepts","[""Learning programming concepts""]","[""bridge the gap for students transitioning""]","[""doi:10.1134/s0361768824700774:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Prompting Skill Requirements","[""Prompting skill requirements""]","[""particularly in prompting and understanding data""]","[""doi:10.1145/3613905.3650844:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Activity Transition Modelling","[""Activity transition modelling""]","[""transitions among prevalent development activities""]","[""doi:10.1109/compsac61105.2024.00156:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Knowledge Source Mixing Issues","[""Knowledge source mixing issues""]","[""combined a postal code API and various elements""]","[""doi:10.1145/3644815.3644949:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Complex Condition Failure","[""Complex condition failure""]","[""tendency to suggest incorrect code in situations where the correct code should handle multiple conditions""]","[""doi:10.1145/3643991.3644917:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Easier Maintainability","[""Easier Maintainability""]","[""significantly less expertise to understand and modify""]","[""doi:10.14569/ijacsa.2025.0161190:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Component Coupling Complexity","[""Component coupling complexity""]","[""intertwined""]","[""doi:10.1145/3772318.3790874:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Ip And Ethical Risks","[""IP and Ethical Risks""]","[""give rise to ethical issues or in some cases copyright""]","[""doi:10.1145/3593434.3593468:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Suboptimal Ui Aesthetics","[""Suboptimal UI aesthetics""]","[""lagged behind human-designed UIs""]","[""doi:10.1109/icarc64760.2025.10963005:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Irrelevant Suggestions","[""Irrelevant suggestions""]","[""out-of-scope or irrelevant suggestions""]","[""doi:10.1109/icse-seip66354.2025.00043:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"High Interaction Volume","[""High interaction volume""]","[""exchanged 135,615 words""]","[""doi:10.1515/labmed-2024-0034:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Defect Prediction Limitation","[""Defect prediction limitation""]","[""limitation of LLMs ability to predict the presence of defects""]","[""doi:10.13052/jwe1540-9589.2263:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Documentation Synchronization Failure","[""Documentation synchronization failure""]","[""failed to synchronize all relevant artifacts""]","[""doi:10.1145/3798166:P005""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Engineering Trust Requirements","[""Engineering trust requirements""]","[""systematically engineer trust""]","[""doi:10.1007/s00766-026-00457-w:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Mandatory Human Supervision","[""Human oversight required"", ""Need for human oversight""]","[""need for human intervention and review"", ""requires a competent programmer"", ""human intervention remains essential""]","[""doi:10.3389/fcomp.2024.1473870:P003"", ""doi:10.1145/3769994.3770029:P001"", ""doi:10.1109/icarc64760.2025.10963005:P002""]","2","TBS","2026-04-19T03:06:06+00:00",""
"Commit Message Generation","[""Commit Message Generation""]","[""automatically generate a commit message""]","[""doi:10.1145/3643991.3644918:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"High Evaluation Agreement","[""High evaluation agreement""]","[""agreed with ChatGPT's evaluation of user stories""]","[""doi:10.1109/spaccs63173.2024.00012:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Negative Wellbeing Impacts","[""Negative wellbeing impacts""]","[""cause mental fatigue, cognitive strain""]","[""doi:10.1145/3707640.3731915:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Controlled Field Experiment","[""Controlled field experiment""]","[""divided 40 business analysts into two groups""]","[""doi:10.14778/3750601.3750610:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Insecure Suggestion Exposure","[""Insecure Suggestion Exposure""]","[""presented with insecure AI suggestions""]","[""doi:10.1145/3706598.3713989:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Comparative Usage Study","[""Comparative usage study""]","[""coding with and without use""]","[""doi:10.1145/3649217.3653615:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Explanation Transformation Success","[""Explanation transformation success""]","[""transform the explanation""]","[""doi:10.1145/3708518:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Non-It Staff Participation","[""Non-IT staff participation""]","[""foster participation in designing IT solutions""]","[""doi:10.24251/hicss.2025.896:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"High Usability And Low Workload","[""High usability and low workload""]","[""usability highly""]","[""doi:10.1145/3687272.3688296:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Consistent Polite Tone","[""Consistent polite tone""]","[""ChatGPT would never be picky""]","[""doi:10.1109/chase66643.2025.00016:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Classification Limitations","[""Classification limitations""]","[""incorrectly classify comments including domain-specific terms""]","[""doi:10.1109/msr66628.2025.00043:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Exact Match Generation","[""Exact Match Generation""]","[""exact solution""]","[""doi:10.1109/saner64311.2025.00070:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Error Fixing Queries","[""Error fixing queries""]","[""queried LLMs for error fixing""]","[""doi:10.3390/app15126836:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Superior Test Naming","[""superior test naming""]","[""more natural compared to EvoSuite and developer-written test cases""]","[""doi:10.1109/icse-seip66354.2025.00042:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Knowledge Transfer Success","[""Knowledge transfer success""]","[""successful knowledge transfer episodes""]","[""doi:10.1109/ase63991.2025.00022:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Low Direct Code Adoption","[""Low direct code adoption""]","[""12.78% of issues""]","[""doi:10.1109/saner64311.2025.00015:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Autonomous Inspection","[""autonomous inspection""]","[""substituting human involvement""]","[""doi:10.1145/3653718:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Reluctance To Recommend","[""Reluctance to recommend""]","[""reservations regarding recommending ChatGPT""]","[""doi:10.1109/spaccs63173.2024.00012:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Low-Resource Language Barrier","[""Low-resource language barrier""]","[""tools lack examples""]","[""doi:10.1145/3639477.3643648:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Ai For Vulnerability Remediation","[""AI for vulnerability remediation""]","[""make the code more secure""]","[""doi:10.1145/3658644.3690283:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Hackathon Observation Study","[""Hackathon observation study""]","[""ethnographic techniques to observe""]","[""doi:10.1145/3613905.3650844:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Automated Inclusivity Testing","[""Automated inclusivity testing""]","[""efficient tool for gender-related usability evaluation""]","[""doi:10.1145/3801978:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Mixed Population Survey","[""Mixed population survey""]","[""survey targeting software developers and computer science students""]","[""doi:10.1109/icsme58944.2024.00045:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Negative Performance Impact","[""Negative performance impact""]","[""did not achieve any improvement""]","[""doi:10.1145/3772318.3791365:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Shift To Private Problem-Solving","[""shift to private problem-solving""]","[""private, tool-mediated interactions""]","[""doi:10.59543/gk2qp136:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Educational Content Generation","[""Educational content generation""]","[""generate relevant practice problems""]","[""doi:10.3390/educsci15020156:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"High User Preference","[""High user preference""]","[""strongly favored using AdbGPT in practice""]","[""doi:10.1145/3597503.3608137:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Chat-Based Query","[""Chat-based query""]","[""asking a general question in the chat interface""]","[""doi:10.1109/cascon66301.2025.00025:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Llm Visual Comprehension","[""LLM visual comprehension""]","[""assertions derived from visual properties""]","[""doi:10.1145/3643787.3648032:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Semantic Context Awareness","[""semantic context awareness""]","[""relate to the meaning of neighbor texts, understand the purpose of an element""]","[""doi:10.1002/stvr.1893:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Api Inference Capability","[""API inference capability""]","[""API usage inference""]","[""doi:10.1145/3650212.3680355:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Demand Mitigation","[""Demand mitigation""]","[""mitigating the emotional labor-induced demands""]","[""doi:10.1145/3706598.3713705:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Repair Generation Failure","[""Repair generation failure""]","[""failed to generate any correct repair patches""]","[""doi:10.1109/apsec60848.2023.00085:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Security Improvement In Complex Tasks","[""Security improvement in complex tasks""]","[""more secure solution""]","[""doi:10.1145/3597503.3639154:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Semantic Evaluation Challenge","[""Semantic evaluation challenge""]","[""persistent challenge remains with the Conceptually Sound criterion""]","[""doi:10.5815/ijmecs.2026.02.05:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Inline Code Completion","[""Inline code completion""]","[""autocomplete function""]","[""doi:10.24251/hicss.2025.883:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Full Codebase Processing","[""Full codebase processing""]","[""processing entire codebases""]","[""doi:10.15849/ijasca.250730.11:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Conversational Disambiguation","[""Conversational Disambiguation""]","[""multi-turn conversations""]","[""doi:10.1609/aaai.v40i47.41475:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Ideation Primary Use Case","[""Ideation primary use case""]","[""primarily utilized for ideation""]","[""doi:10.1109/saner64311.2025.00015:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Extraction Failure","[""Extraction Failure""]","[""failed to extract out the correct answer""]","[""doi:10.1145/3644815.3644945:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"High Comment Resolution","[""High comment resolution""]","[""accepted and implemented""]","[""doi:10.1109/icse-seip66354.2025.00043:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Context-Dependent Security Benefits","[""Context-dependent security benefits""]","[""security benefits""]","[""doi:10.1145/3597503.3639154:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Preference For Built-In Helpers","[""Preference for built-in helpers""]","[""pre-defined helpers""]","[""doi:10.1145/3491101.3519729:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Inconsistency Breaks Mental Models","[""Inconsistency breaks mental models""]","[""disrupted developers’ expectations""]","[""doi:10.1109/vl-hcc65237.2025.00017:P007""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Multi-Turn Dialog Fixing","[""Multi-turn dialog fixing""]","[""engage in multi-round process""]","[""doi:10.1109/tse.2024.3392499:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Complete Diff Recommendation","[""Complete diff recommendation""]","[""recommends fully formed software improvements""]","[""doi:10.1145/3663529.3663839:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"False Security Confidence","[""False Security Confidence""]","[""mistakenly considering it secure""]","[""doi:10.1145/3706598.3713989:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Comprehension Enforcement","[""Comprehension enforcement""]","[""forced deeper comprehension""]","[""doi:10.1109/vl-hcc65237.2025.00017:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Ai Replacing Human Crowds","[""AI replacing human crowds""]","[""consistent decline in crowd worker usage""]","[""doi:10.1145/3706599.3720193:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Agent Interaction Complexity","[""Agent interaction complexity""]","[""emergent interactions between them""]","[""doi:10.1145/3706598.3713581:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Multi-Method Generation Challenge","[""Multi-method generation challenge""]","[""difficulties in combining multiple methods""]","[""doi:10.1016/j.jss.2023.111734:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Preference For Diversity","[""Preference for diversity""]","[""preference for diverse test scenarios""]","[""doi:10.1145/3664646.3664762:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Efficiency And Accessibility","[""Efficiency and accessibility""]","[""simple and fast method""]","[""doi:10.1553/giscience2023_01_s140:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Behavioral Changes","[""Behavioral changes""]","[""suggested refactoring led to test failures""]","[""doi:10.1145/3643991.3645081:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Agent Response Types","[""Agent response types""]","[""three main types of ChatGPT’s response for repair""]","[""doi:10.1007/s10515-025-00492-x:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Hypothesis Generation","[""Hypothesis generation""]","[""generate hypotheses""]","[""doi:10.1007/s10664-024-10594-x:P005""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Perceived Usefulness","[""Perceived Usefulness""]","[""majority perceived value"", ""beneficial for writing test cases""]","[""doi:10.1145/3643795.3648393:P001"", ""doi:10.1145/3663529.3663801:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Human Vs Ai Help-Seeking","[""Human vs AI Help-Seeking""]","[""asking a person sometimes is better""]","[""doi:10.1145/3770762.3772668:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Prompt Formulation Difficulty","[""Prompt formulation difficulty""]","[""translate their hunches about model behavior into a concrete hypothesis""]","[""doi:10.1145/3600211.3604712:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Accessible To Novices","[""Accessible to Novices""]","[""low learning curve""]","[""doi:10.1109/vl/hcc60511.2024.00020:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Code Detail Reminder","[""Code detail reminder""]","[""remind developers of important code details""]","[""doi:10.1109/ase63991.2025.00022:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Llm-Based Text Input","[""LLM-based text input""]","[""generating semantic input text""]","[""doi:10.1109/icse48619.2023.00119:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Rejection From Process Complexity","[""Rejection from process complexity""]","[""project evolution and PR complexity""]","[""doi:10.1145/3798166:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Domain Fine-Tuning Necessity","[""Domain fine-tuning necessity""]","[""fine-tuning step using domain-specific data is crucial""]","[""doi:10.1109/apsec60848.2023.00085:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Automated Data Structuring","[""Automated data structuring""]","[""converts unstructured inputs""]","[""doi:10.7764/ric.00164.21:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Complementary To Traditional Methods","[""Complementary to traditional methods""]","[""valuable supplement""]","[""doi:10.1109/icse55347.2025.00138:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Ide-Based Telemetry And Requests","[""IDE-based telemetry and requests""]","[""runs within the IDE""]","[""doi:10.1145/3520312.3534864:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Familiarity Skips Scaffolding","[""Familiarity skips scaffolding""]","[""skipped summaries and used direct instructions""]","[""doi:10.1109/vl-hcc65237.2025.00017:P005""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Model Degradation Over Time","[""Model degradation over time""]","[""performance degradation of online business LLMs""]","[""doi:10.1109/apsec65559.2024.00017:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Cherry-Picking Solutions","[""Cherry-picking solutions""]","[""pick parts only""]","[""doi:10.1145/3597503.3639201:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Autonomous Exploration","[""Autonomous exploration""]","[""interacts autonomously with apps""]","[""doi:10.1145/3706598.3713600:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Llm Personal Validation","[""LLM personal validation""]","[""extends robustly to interactions with LLMs""]","[""doi:10.1145/3772318.3791851:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Usability Challenges","[""Usability Challenges""]","[""low success rates""]","[""doi:10.1109/icimtech67074.2025.11264926:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"No Time Savings","[""No time savings""]","[""do not save time with respect to a fully manual process""]","[""doi:10.1109/icse55347.2025.00060:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Preference For General Tools","[""Preference for General Tools""]","[""using general purpose AI-assisted tools like ChatGPT more""]","[""doi:10.1145/3696630.3731667:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Unintended Quality Improvements","[""Unintended quality improvements""]","[""positive prediction changes""]","[""doi:10.1145/3716167:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Llm Reasoning On Warnings","[""LLM reasoning on warnings""]","[""reason about the reported warnings""]","[""doi:10.1145/3653718:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Data Processing Functions","[""Data processing functions""]","[""write functions working with data""]","[""doi:10.18293/seke2023-077:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Feedback-Driven Optimization","[""Feedback-driven optimization""]","[""continuously optimizes based on user feedback""]","[""doi:10.1145/3696630.3728552:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Json Formatting Dominance","[""JSON formatting dominance""]","[""most commonly used output format""]","[""doi:10.1145/3696630.3728533:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Custom Tailored Llm Agent","[""Custom tailored LLM agent""]","[""custom version of ChatGPT""]","[""doi:10.1145/3708518:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Trade-Off Expediency Vs Security","[""Trade-off expediency vs security""]","[""priorities shifted""]","[""doi:10.1145/3597503.3639154:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Neutral Vulnerability Impact","[""Neutral vulnerability impact""]","[""no clear or significant impact""]","[""doi:10.1145/3597503.3639154:P005""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Providing Feedforward Cues","[""Providing feedforward cues""]","[""affordances for impact analysis""]","[""doi:10.1145/3746059.3747778:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Delegating Tedious Tasks","[""Delegating tedious tasks""]","[""helps me with tasks I don't enjoy""]","[""doi:10.1145/3706598.3714008:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Invalid Bug Filtering","[""Invalid bug filtering""]","[""filter out false positives""]","[""doi:10.1145/3806655:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Context Requirements For Tests","[""Context requirements for tests""]","[""test prefix and the methods called""]","[""doi:10.1109/ase63991.2025.00031:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"High Zero-Revision Merge Rate","[""High zero-revision merge rate""]","[""merged as-is with a single commit""]","[""doi:10.1145/3798166:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Assessment Validity Threat","[""Assessment validity threat""]","[""proving that you know how to use an autocomplete""]","[""doi:10.1109/compsac61105.2024.00252:P005""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Geographic Bias","[""Geographic Bias""]","[""preference for some regions over others""]","[""doi:10.1109/icsme58944.2024.00063:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Alert Fatigue And Trust","[""Alert fatigue and trust""]","[""ignore review comments entirely""]","[""doi:10.1145/3696630.3728552:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Simplified Employee Onboarding","[""Simplified employee onboarding""]","[""facilitated the onboarding of new employees""]","[""doi:10.24251/hicss.2025.896:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Runtime Validation Requirement","[""Runtime Validation Requirement""]","[""validation of a RAG system is only feasible during operation""]","[""doi:10.1145/3644815.3644945:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Frameworks/Libraries Challenges","[""Frameworks/Libraries challenges""]","[""most challenging domain""]","[""doi:10.1016/j.jss.2025.112541:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Various Se Tasks","[""Various SE tasks""]","[""address software development-related tasks""]","[""doi:10.1145/3643991.3645084:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Boilerplate Offloading Blindspot","[""Boilerplate offloading blindspot""]","[""just assumed it would be correct""]","[""doi:10.1186/s40594-025-00592-w:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Low Repair Cost","[""Low repair cost""]","[""require less effort to be repaired""]","[""doi:10.1016/j.jss.2023.111734:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Explanation Expectation","[""Explanation expectation""]","[""better explanation that would be helpful""]","[""doi:10.1109/compsac61105.2024.00252:P006""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Contextual Alternative Generation","[""Contextual alternative generation""]","[""asking the LLM for different approaches""]","[""doi:10.1007/s10664-025-10730-1:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Over-Trust And Absent Verification","[""Over-trust and absent verification""]","[""trust AI output at least occasionally without systematic validation""]","[""doi:10.48009/1_iis_134:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Llm Api Misuse Types","[""LLM API misuse types""]","[""four recurring misuse patterns""]","[""doi:10.1109/tse.2026.3651566:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Loss Of Social Validation","[""Loss of social validation""]","[""challenges the social validation""]","[""doi:10.1145/3721127:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Accurate Answer Summarisation","[""Accurate answer summarisation""]","[""accurately summarize potentially unstructured answers""]","[""doi:10.1145/3708319.3733810:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Increased Perceived Fairness","[""Increased perceived fairness""]","[""perceived fairness scores showed an even more significant difference""]","[""doi:10.24251/hicss.2025.522:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Test Generation Unreliability","[""Test generation unreliability""]","[""really often it misses things""]","[""doi:10.1007/s10257-025-00704-7:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Patch Review Task","[""Patch review task""]","[""review patches""]","[""doi:10.1007/s10664-024-10594-x:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Workplace Tool Usage","[""Workplace Tool Usage""]","[""productivity and automation""]","[""doi:10.1002/sd.70544:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Automated Clump Refactoring","[""Automated clump refactoring""]","[""automate the detection and resolution of data clumps""]","[""doi:10.3390/electronics13091644:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Concept Simplification","[""Concept simplification""]","[""breaking down complex programming concepts""]","[""doi:10.1145/3643690.3648236:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Goal-Oriented Progress","[""Goal-oriented progress""]","[""best progress towards their goals""]","[""doi:10.1145/3520312.3534864:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Broad Se Task Coverage","[""Broad SE task coverage""]","[""eliciting requirements, diagram generation, API simulation, effort esti-mation""]","[""doi:10.1109/cseet62301.2024.10663055:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Constraints For Refinement","[""Constraints for refinement""]","[""refine outputs""]","[""doi:10.1145/3696630.3728533:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Automated Pr Creation","[""Automated PR creation""]","[""drafted into automated pull requests""]","[""doi:10.1109/icodse68111.2025.11351772:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Improved Health Literacy","[""Improved Health Literacy""]","[""better understanding""]","[""doi:10.1145/3706598.3713852:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Visual Chain Authoring","[""Visual chain authoring""]","[""visually programming chains""]","[""doi:10.1145/3491101.3519729:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Configuration Adjustment","[""Configuration adjustment""]","[""adjust settings or configuration files""]","[""doi:10.1016/j.jss.2024.112204:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Implicit User Intent","[""Implicit User Intent""]","[""underspecified or implicit in a query""]","[""doi:10.1609/aaai.v40i47.41475:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Inaccessible Visual Suggestions","[""inaccessible visual suggestions""]","[""grayed-out ghost text""]","[""doi:10.1145/3663547.3759729:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Prompt Dependency","[""Prompt dependency""]","[""simple prompt, ChatGPT can hardly understand""]","[""doi:10.1109/ase56229.2023.00206:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Positive Prediction Bias","[""Positive prediction bias""]","[""positive AI-generated predictions are perceived as significantly more valid""]","[""doi:10.1145/3772318.3791851:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Qualitative User Evaluation","[""Qualitative User Evaluation""]","[""user survey and perform a qualitative analysis""]","[""doi:10.1109/trustcom66490.2025.00026:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Increased User Frustration","[""Increased user frustration""]","[""significantly increased frustration levels""]","[""doi:10.1145/3597503.3639201:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Ide Metadata Context Injection","[""IDE metadata context injection""]","[""captured as metadata""]","[""doi:10.51983/ijiss-2025.ijiss.15.2.46:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Blind Acceptance Of Vulnerabilities","[""Blind acceptance of vulnerabilities""]","[""accepted poisoned code""]","[""doi:10.1109/sp54263.2024.00046:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Cascading Errors","[""Cascading errors""]","[""poor performance may propagate and amplify""]","[""doi:10.1145/3806655:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Code Comprehension Use Case","[""Code Comprehension Use Case""]","[""understanding code""]","[""doi:10.1145/3706599.3706670:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Multi-Role Expert Study","[""Multi-role expert study""]","[""Fourteen experts from UX research, product management, design, and AI strategy""]","[""doi:10.1145/3772363.3798543:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Creative Problem-Solving","[""Creative problem-solving""]","[""contribute to the creative and problem-solving aspects""]","[""doi:10.1145/3643690.3648236:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Successful Code Migration","[""Successful code migration""]","[""migrated correctly""]","[""doi:10.1145/3674805.3690746:P004""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Interruption Costs","[""Interruption costs""]","[""Mistimed suggestions""]","[""doi:10.1109/asew67777.2025.00049:P001""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Noisy Human Feedback","[""Noisy human feedback""]","[""human feedback used to guide the RL process can sometimes introduce errors or noise""]","[""doi:10.1109/tbdata.2024.3524104:P003""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
